,,,, State Graduation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Asian,,,Black,,,Hispanic,,,Multiracial,,,Native Hawaiian or Other Pacific Islander,,,White,,,Paid Meals,,,Free/Reduced Price Meals,,,General Education,,,Special Education,,,Non-English Language Learner,,,English Language Learner,,,Female,,,Male,,,Total,,,
IDOE CORP ID,CORPORATION NAME,IDOE SCHOOL ID,SCHOOL NAME,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Capped Graduation Rate,Graduation Rate was adjusted due to Alternate Diploma Cap (*)  and/or Waiver Cap (~)
-999,Independent Non-Public Schools,B483,Jay County Christian Academy,,,,,,,,,,,,,,,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,***,***,***,***,***,***,***,***,***,
-999,Independent Non-Public Schools,B493,Christian Academy of Madison,,,,,,,,,,,,,,,,12,12,100.00%,11,11,100.00%,,,,***,***,***,***,***,***,11,11,100.00%,,,,***,***,***,***,***,***,12,12,100.00%,
-999,Independent Non-Public Schools,B557,Pierceton Woods Academy,,,,,,,***,***,***,,,,,,,***,***,***,***,***,***,,,,***,***,***,***,***,***,***,***,***,***,***,***,,,,***,***,***,***,***,***,
-999,Independent Non-Public Schools,B562,Southwest IN Regional Youth Vlg,,,,,,,,,,***,***,***,,,,***,***,***,,,,,,,,,,,,,,,,,,,,,,***,***,***,***,***,***,
-999,Independent Non-Public Schools,B595,Lakeland Christian Academy,,,,,,,***,***,***,***,***,***,,,,20,17,85.00%,17,17,100.00%,***,***,***,19,19,100.00%,***,***,***,19,19,100.00%,***,***,***,12,10,83.33%,11,10,90.91%,23,20,86.96%,
-999,Independent Non-Public Schools,B815,Calumet Christian School,,,,***,***,***,***,***,***,,,,,,,***,***,***,13,12,92.31%,,,,^^,^^,91.67%,***,***,***,13,12,92.31%,,,,***,***,***,***,***,***,13,12,92.31%,
-999,Independent Non-Public Schools,C175,Indiana Christian Academy,,,,,,,***,***,***,,,,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,~
-999,Independent Non-Public Schools,C225,Liberty Christian School,***,***,***,***,***,***,***,***,***,***,***,***,,,,13,12,92.31%,15,14,93.33%,***,***,***,21,20,95.24%,***,***,***,21,20,95.24%,***,***,***,11,11,100.00%,13,11,84.62%,24,22,91.67%,
-999,Independent Non-Public Schools,C250,Anderson Christian School,***,***,***,,,,,,,,,,,,,,,,,,,***,***,***,***,***,***,,,,***,***,***,,,,,,,***,***,***,***,***,***,
-999,Independent Non-Public Schools,C257,Damar Academy,,,,,,,***,***,***,,,,,,,***,***,***,***,***,***,***,***,***,,,,***,***,***,***,***,***,,,,,,,***,***,***,***,***,***,
-999,Independent Non-Public Schools,C275,Heritage Christian School,11,11,100.00%,***,***,***,***,***,***,***,***,***,,,,102,101,99.02%,119,118,99.16%,11,11,100.00%,128,127,99.22%,***,***,***,130,129,99.23%,,,,67,67,100.00%,63,62,98.41%,130,129,99.23%,
-999,Independent Non-Public Schools,C281,Cornerstone Baptist Academy,,,,***,***,***,,,,,,,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,
-999,Independent Non-Public Schools,C282,Horizon Christian School,,,,***,***,***,***,***,***,,,,,,,12,12,100.00%,14,14,100.00%,***,***,***,15,15,100.00%,***,***,***,^^,^^,100.00%,***,***,***,***,***,***,***,***,***,17,17,100.00%,
-999,Independent Non-Public Schools,C325,Suburban Christian School,***,***,***,,,,,,,***,***,***,,,,11,11,100.00%,***,***,***,***,***,***,^^,^^,100.00%,***,***,***,13,13,100.00%,,,,***,***,***,***,***,***,13,13,92.31%,~
-999,Independent Non-Public Schools,C360,Brebeuf Jesuit Preparatory School,***,***,***,32,32,100.00%,19 ,19 ,100.00%,16,16,100.00%,,,,135,134,99.26%,205,205,100.00%,,,,197,197,100.00%,***,***,***,205,205,100.00%,,,,90,90,100.00%,116,115,99.14%,206,205,99.51%,
-999,Independent Non-Public Schools,C375,Traders Point Christian Schools,***,***,***,***,***,***,***,***,***,,,,,,,***,***,***,***,***,***,***,***,***,10,10,100.00%,,,,10,10,100.00%,,,,***,***,***,***,***,***,10,10,100.00%,
-999,Independent Non-Public Schools,C495,Colonial Christian School,,,,,,,***,***,***,***,***,***,,,,14,14,100.00%,12,12,100.00%,***,***,***,16,16,100.00%,,,,16,16,100.00%,,,,***,***,***,^^,^^,100.00%,16,16,100.00%,
-999,Independent Non-Public Schools,C514,Crosspointe Christian Academy,,,,***,***,***,***,***,***,***,***,***,,,,***,***,***,11,11,100.00%,,,,10,10,100.00%,***,***,***,11,11,100.00%,,,,***,***,***,***,***,***,12,11,33.33%,~
-999,Independent Non-Public Schools,C527,Covenant Christian High School,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,61,59,96.72%,74,71,95.95%,,,,70,69,98.57%,***,***,***,74,71,95.95%,,,,32,30,93.75%,44,42,95.45%,76,72,94.74%,
-999,Independent Non-Public Schools,C561,Trinity Christian School,,,,***,***,***,***,***,***,***,***,***,,,,***,***,***,12,11,91.67%,,,,12,11,91.67%,,,,^^,^^,90.91%,***,***,***,***,***,***,***,***,***,12,11,91.67%,
-999,Independent Non-Public Schools,C575,Central Christian Academy,,,,,,,***,***,***,***,***,***,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,***,***,***,10,1,10.00%,
-999,Independent Non-Public Schools,C580,Calvary Christian School,***,***,***,,,,***,***,***,,,,,,,12,11,91.67%,***,***,***,10,10,100.00%,16,15,93.75%,,,,16,15,93.75%,,,,***,***,***,***,***,***,16,15,93.75%,
-999,Independent Non-Public Schools,C589,The Independence Academy,,,,***,***,***,,,,,,,,,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,***,***,***,***,***,***,***,***,***,~
-999,Independent Non-Public Schools,C628,MTI School of Knowledge,***,***,***,10,10,100.00%,,,,,,,,,,***,***,***,***,***,***,20,20,100.00%,^^,^^,100.00%,***,***,***,18,18,100.00%,***,***,***,10,10,100.00%,14,14,100.00%,24,24,100.00%,
-999,Independent Non-Public Schools,C677,International Sch of IN HS (9-12),***,***,***,***,***,***,***,***,***,,,,,,,16,16,100.00%,27,27,100.00%,***,***,***,^^,^^,100.00%,***,***,***,27,27,100.00%,***,***,***,13,13,100.00%,17,17,100.00%,30,30,100.00%,
-999,Independent Non-Public Schools,C850,Grace Baptist Christian School,,,,,,,,,,,,,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,
-999,Independent Non-Public Schools,C910,Covenant Christian School,,,,,,,,,,,,,,,,11,7,63.64%,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,***,***,***,***,***,***,11,7,63.64%,
-999,Independent Non-Public Schools,C927,Lighthouse Christian Academy,,,,,,,,,,***,***,***,,,,^^,^^,100.00%,***,***,***,***,***,***,^^,^^,100.00%,***,***,***,12,12,100.00%,,,,***,***,***,***,***,***,12,12,100.00%,
-999,Independent Non-Public Schools,C940,Tabernacle Christian School,,,,,,,***,***,***,***,***,***,,,,24,22,91.67%,14,13,92.86%,10,9,90.00%,21,20,95.24%,***,***,***,24,22,91.67%,,,,***,***,***,^^,^^,94.12%,26,23,84.62%,~
-999,Independent Non-Public Schools,C954,Greenwood Christian Academy High School,***,***,***,***,***,***,***,***,***,***,***,***,,,,46,45,97.83%,45,45,100.00%,10,10,100.00%,52,52,100.00%,***,***,***,52,52,100.00%,***,***,***,27,26,96.30%,30,29,96.67%,57,55,92.98%,~
-999,Independent Non-Public Schools,C965,Mooresville Christian Academy,,,,,,,,,,,,,,,,10,9,90.00%,***,***,***,,,,***,***,***,***,***,***,***,***,***,,,,***,***,***,***,***,***,10,9,90.00%,
-999,Independent Non-Public Schools,D056,Shults-Lewis Child & Family Srvs,,,,***,***,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,***,***,,,,***,***,***,
-999,Independent Non-Public Schools,D063,Emmanuel Baptist Academy,,,,,,,,,,***,***,***,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,~
-999,Independent Non-Public Schools,D073,Victory Christian Academy,,,,,,,***,***,***,,,,,,,^^,^^,96.43%,26,26,100.00%,***,***,***,27,27,100.00%,,,,27,27,100.00%,,,,13,13,100.00%,16,15,93.75%,29,28,96.55%,
-999,Independent Non-Public Schools,D080,Portage Christian School,,,,***,***,***,***,***,***,***,***,***,,,,***,***,***,13,13,100.00%,,,,10,10,100.00%,***,***,***,13,13,100.00%,,,,***,***,***,***,***,***,13,13,92.31%,~
-999,Independent Non-Public Schools,D196,Bais Yaakov High School of Indiana,,,,,,,,,,,,,,,,***,***,***,***,***,***,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,
-999,Independent Non-Public Schools,D217,Trinity School At Greenlawn,***,***,***,***,***,***,,,,***,***,***,,,,28,28,100.00%,34,33,97.06%,,,,34,33,97.06%,,,,34,33,97.06%,,,,16,15,93.75%,18,18,100.00%,34,33,97.06%,
-999,Independent Non-Public Schools,D249,New Vision Christian Academy,,,,***,***,***,,,,,,,,,,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,,,,***,***,***,***,***,***,***,***,***,
-999,Independent Non-Public Schools,D281,Yeshiva of South Bend,,,,,,,,,,,,,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,,,,***,***,***,***,***,***,
-999,Independent Non-Public Schools,D305,Community Baptist Christian School,,,,,,,,,,,,,,,,11,11,100.00%,***,***,***,***,***,***,10,10,100.00%,,,,10,10,100.00%,,,,***,***,***,***,***,***,11,11,100.00%,
-999,Independent Non-Public Schools,D310,Granger Christian School,,,,,,,***,***,***,,,,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,~
-999,Independent Non-Public Schools,D329,Grace Christian Academy Inc,,,,,,,,,,***,***,***,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,
-999,Independent Non-Public Schools,D451,T. C. Harris School,,,,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,
