zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
47957,STANDARD,0,Medaryville,,,IN,Pulaski County,America/Indiana/Winamac,"219, 574",NA,US,41.08,-86.89,1540
47958,PO BOX,0,Mellott,,,IN,Fountain County,America/Indiana/Indianapolis,765,NA,US,40.16,-87.15,182
47959,STANDARD,0,Monon,,,IN,White County,America/Indiana/Indianapolis,"219, 574",NA,US,40.86,-86.87,2540
47960,STANDARD,0,Monticello,,Indiana Beach,IN,White County,America/Indiana/Indianapolis,"219, 574, 765",NA,US,40.74,-86.76,13710
47962,PO BOX,0,Montmorenci,,,IN,Tippecanoe County,America/Indiana/Indianapolis,765,NA,US,40.47,-87.02,88
47963,STANDARD,0,Morocco,,,IN,Newton County,America/Chicago,"219, 779, 815",NA,US,40.94,-87.45,1730
47964,PO BOX,0,Mount Ayr,,,IN,Newton County,America/Chicago,219,NA,US,40.95,-87.3,115
47965,PO BOX,0,New Market,,,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,39.95,-86.92,672
47966,PO BOX,0,Newport,,,IN,Vermillion County,America/Indiana/Indianapolis,765,NA,US,39.88,-87.4,598
47967,STANDARD,0,New Richmond,,,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,40.19,-86.97,710
47968,STANDARD,0,New Ross,,,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,39.96,-86.71,960
47969,PO BOX,0,Newtown,,,IN,Fountain County,America/Indiana/Indianapolis,765,NA,US,40.2,-87.15,215
47970,STANDARD,0,Otterbein,,,IN,Benton County,America/Indiana/Indianapolis,"219, 765",NA,US,40.49,-87.1,1860
47971,STANDARD,0,Oxford,,,IN,Benton County,America/Indiana/Indianapolis,765,NA,US,40.52,-87.24,1720
47974,STANDARD,0,Perrysville,,,IN,Vermillion County,America/Indiana/Indianapolis,"217, 447, 765",NA,US,40.05,-87.43,1040
47975,STANDARD,0,Pine Village,,,IN,Warren County,America/Indiana/Indianapolis,765,NA,US,40.44,-87.25,720
47977,STANDARD,0,Remington,,,IN,Jasper County,America/Chicago,"219, 765",NA,US,40.76,-87.15,2160
47978,STANDARD,0,Rensselaer,Collegeville,,IN,Jasper County,America/Chicago,219,NA,US,40.93,-87.14,9890
47980,STANDARD,0,Reynolds,,,IN,White County,America/Indiana/Indianapolis,"219, 574",NA,US,40.74,-86.87,990
47981,STANDARD,0,Romney,,,IN,Tippecanoe County,America/Indiana/Indianapolis,765,NA,US,40.25,-86.91,890
47982,PO BOX,0,State Line,,,IN,Warren County,America/Indiana/Indianapolis,"217, 447, 765",NA,US,40.2,-87.53,151
47983,PO BOX,0,Stockwell,,,IN,Tippecanoe County,America/Indiana/Indianapolis,765,NA,US,40.29,-86.77,429
47984,PO BOX,1,Talbot,Fowler,,IN,Benton County,America/Indiana/Indianapolis,765,NA,US,40.52,-87.47,0
47986,PO BOX,0,Templeton,Fowler,,IN,Benton County,America/Indiana/Indianapolis,765,NA,US,40.51,-87.21,64
47987,STANDARD,0,Veedersburg,,,IN,Fountain County,America/Indiana/Indianapolis,765,NA,US,40.11,-87.25,3370
47988,PO BOX,0,Wallace,,,IN,Fountain County,America/Indiana/Indianapolis,765,NA,US,39.98,-87.14,49
47989,STANDARD,0,Waveland,,,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,39.87,-87.04,1200
47990,STANDARD,0,Waynetown,,,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,40.08,-87.06,1640
47991,STANDARD,0,West Lebanon,,,IN,Warren County,America/Indiana/Indianapolis,"217, 447, 765",NA,US,40.27,-87.38,950
47992,STANDARD,0,Westpoint,,,IN,Tippecanoe County,America/Indiana/Indianapolis,765,NA,US,40.36,-87.06,1420
47993,STANDARD,0,Williamsport,"Marshfield, Pence",,IN,Warren County,America/Indiana/Indianapolis,"217, 447, 765",NA,US,40.28,-87.29,3630
